"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"TRANS_IRL100HS121";1;"IRLHS6342TRPBF";;;
2;"R7,R4,R8,R5";"R_0603_1608Metric";4;"5k 5%";;;
3;"R2";"R_0603_1608Metric";1;"1Meg 1%";;;
4;"F1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"Polyfuse_Small";;;
5;"R3";"R_0603_1608Metric";1;"10k 5%";;;
6;"U2";"LGA-12_2x2mm_P0.5mm";1;"LSM303C";;;
7;"R6";"R_0603_1608Metric";1;"200m 1%";;;
8;"C10";"C_0805_2012Metric";1;" 10u 16v X7R";;;
9;"L1";"L_0201_0603Metric";1;"10uH";;;
10;"Y1";"Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm";1;"RH100-8.000-8-2020-TR";;;
11;"C14,C13";"C_0603_1608Metric";2;"22pF 16v X7R";;;
12;"C3";"C_0805_2012Metric";1;"220nF 16v X7R";;;
13;"J3";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Load";;;
14;"J2";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";1;"SerialOutput";;;
15;"D3";"D_0805_2012Metric";1;"1N4007FL";;;
16;"R1";"R_0603_1608Metric";1;"1k 5%";;;
17;"J4";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Output2";;;
18;"U4";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"ATmega328-M";;;
19;"J1";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Input";;;
20;"U1";"SOT-23-5";1;"24LC32AT-I/OT";;;
21;"C6,C5";"C_0603_1608Metric";2;"100nF 16v X7R";;;
22;"SW1";"SW_SPST_B3U-1000P";1;"RST";;;
23;"Q2,Q1";"SOT-23";2;"BSS138";;;
24;"H1";"MountingHole_2.2mm_M2_DIN965_Pad";1;"MountingHole";;;
25;"C12";"C_0805_2012Metric";1;"100nF 16v X7R";;;
26;"TP3";"TestPoint_Pad_D1.0mm";1;"Test_VCC";;;
27;"D1";"D_2512_6332Metric";1;"VSSC8L45-M3";;;
28;"C8,C7";"C_0603_1608Metric";2;"22nF 16v X7R";;;
29;"U5";"SOT-223-3_TabPin2";1;"AMS1117-1.8";;;
30;"FB1";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"BLE32PN300SN1L";;;
31;"C2,C1";"C_1206_3216Metric";2;"4.7uF 50v X5R";;;
32;"C4";"C_0603_1608Metric";1;"22uF 16v X7R";;;
33;"D2";"D_MiniMELF";1;"BZV55B24";;;
34;"TP5";"TestPoint_Pad_D1.0mm";1;"Test_1.8v";;;
35;"C11";"C_0805_2012Metric";1;"22uF 6.3v X7R";;;
36;"TP4";"TestPoint_Pad_D1.0mm";1;"Test_5v";;;
37;"U3";"Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias";1;"LMZM23600V3";;;
38;"C9";"C_0805_2012Metric";1;"10uF 16v X7R";;;
